VusersNumber,URL,StartTime,EndTime,ResponseTime[ms]
1,http://httpbin.org/get,2024-10-19-21:24:54.83,2024-10-19-21:24:55.21,384.06
1,http://httpbin.org/post,2024-10-19-21:24:55.21,2024-10-19-21:24:55.56,349.79
1,http://httpbin.org/put,2024-10-19-21:24:55.56,2024-10-19-21:24:57.21,1644.47
1,http://httpbin.org/get,2024-10-19-21:24:57.21,2024-10-19-21:24:57.55,345.91
1,http://httpbin.org/post,2024-10-19-21:24:57.56,2024-10-19-21:24:57.90,349.55
1,http://httpbin.org/put,2024-10-19-21:24:57.91,2024-10-19-21:24:58.38,470.87
1,http://httpbin.org/get,2024-10-19-21:24:58.38,2024-10-19-21:24:58.73,353.65
1,http://httpbin.org/post,2024-10-19-21:24:58.73,2024-10-19-21:24:59.85,1120.24
1,http://httpbin.org/put,2024-10-19-21:24:59.85,2024-10-19-21:25:00.20,349.61
1,http://httpbin.org/get,2024-10-19-21:25:00.20,2024-10-19-21:25:00.55,345.53
1,http://httpbin.org/post,2024-10-19-21:25:00.55,2024-10-19-21:25:00.90,353.54
1,http://httpbin.org/put,2024-10-19-21:25:00.90,2024-10-19-21:25:01.41,510.55
1,http://httpbin.org/get,2024-10-19-21:25:01.42,2024-10-19-21:25:01.76,343.18
1,http://httpbin.org/post,2024-10-19-21:25:01.76,2024-10-19-21:25:02.11,352.89
1,http://httpbin.org/put,2024-10-19-21:25:02.11,2024-10-19-21:25:02.46,349.40
1,http://httpbin.org/get,2024-10-19-21:25:02.46,2024-10-19-21:25:02.78,316.06
1,http://httpbin.org/post,2024-10-19-21:25:02.78,2024-10-19-21:25:03.13,352.82
1,http://httpbin.org/put,2024-10-19-21:25:03.13,2024-10-19-21:25:03.48,350.94
1,http://httpbin.org/get,2024-10-19-21:25:03.49,2024-10-19-21:25:03.84,356.56
1,http://httpbin.org/post,2024-10-19-21:25:03.84,2024-10-19-21:25:04.19,345.87
1,http://httpbin.org/put,2024-10-19-21:25:04.19,2024-10-19-21:25:04.54,351.61
1,http://httpbin.org/get,2024-10-19-21:25:04.54,2024-10-19-21:25:04.90,354.46
1,http://httpbin.org/post,2024-10-19-21:25:04.90,2024-10-19-21:25:05.24,342.49
1,http://httpbin.org/put,2024-10-19-21:25:05.24,2024-10-19-21:25:05.59,353.66
2,http://httpbin.org/get,2024-10-19-21:25:05.60,2024-10-19-21:25:05.94,346.06
2,http://httpbin.org/get,2024-10-19-21:25:05.60,2024-10-19-21:25:06.20,601.81
2,http://httpbin.org/post,2024-10-19-21:25:05.94,2024-10-19-21:25:06.29,351.28
2,http://httpbin.org/post,2024-10-19-21:25:06.20,2024-10-19-21:25:06.54,343.27
2,http://httpbin.org/put,2024-10-19-21:25:06.54,2024-10-19-21:25:06.89,346.80
2,http://httpbin.org/get,2024-10-19-21:25:06.89,2024-10-19-21:25:07.24,344.30
2,http://httpbin.org/post,2024-10-19-21:25:07.24,2024-10-19-21:25:07.59,352.90
2,http://httpbin.org/put,2024-10-19-21:25:07.59,2024-10-19-21:25:07.94,353.83
2,http://httpbin.org/get,2024-10-19-21:25:07.94,2024-10-19-21:25:08.30,353.33
2,http://httpbin.org/put,2024-10-19-21:25:06.29,2024-10-19-21:25:08.61,2312.25
2,http://httpbin.org/post,2024-10-19-21:25:08.30,2024-10-19-21:25:08.65,350.62
2,http://httpbin.org/get,2024-10-19-21:25:08.61,2024-10-19-21:25:08.96,354.18
2,http://httpbin.org/put,2024-10-19-21:25:08.65,2024-10-19-21:25:09.00,353.00
2,http://httpbin.org/post,2024-10-19-21:25:08.96,2024-10-19-21:25:09.31,348.81
2,http://httpbin.org/get,2024-10-19-21:25:09.00,2024-10-19-21:25:09.34,341.26
2,http://httpbin.org/post,2024-10-19-21:25:09.35,2024-10-19-21:25:09.99,648.48
2,http://httpbin.org/put,2024-10-19-21:25:10.00,2024-10-19-21:25:10.58,583.85
2,http://httpbin.org/get,2024-10-19-21:25:10.58,2024-10-19-21:25:11.32,736.35
2,http://httpbin.org/put,2024-10-19-21:25:09.31,2024-10-19-21:25:11.37,2062.21
2,http://httpbin.org/post,2024-10-19-21:25:11.32,2024-10-19-21:25:11.67,356.70
2,http://httpbin.org/put,2024-10-19-21:25:11.68,2024-10-19-21:25:12.03,355.00
